 2.58000000e-01  2.58000000e-01  2.58000000e-01  1.54286131e+00  2.58000000e-01  3.77588037e-03 
 2.60000000e-01  2.60000000e-01  2.60000000e-01  1.54283969e+00  2.60000000e-01  3.77595887e-03 
 2.62000000e-01  2.62000000e-01  2.62000000e-01  1.54281795e+00  2.62000000e-01  3.77603781e-03 
 2.64000000e-01  2.64000000e-01  2.64000000e-01  1.54279610e+00  2.64000000e-01  3.77611718e-03 
 2.66000000e-01  2.66000000e-01  2.66000000e-01  1.54277412e+00  2.66000000e-01  3.77619700e-03 
 2.68000000e-01  2.68000000e-01  2.68000000e-01  1.54275202e+00  2.68000000e-01  3.77627727e-03 
 2.70000000e-01  2.70000000e-01  2.70000000e-01  1.54272979e+00  2.70000000e-01  3.77635799e-03 
 2.72000000e-01  2.72000000e-01  2.72000000e-01  1.54270745e+00  2.72000000e-01  3.77643916e-03 
 2.74000000e-01  2.74000000e-01  2.74000000e-01  1.54268497e+00  2.74000000e-01  3.77652079e-03 
 2.76000000e-01  2.76000000e-01  2.76000000e-01  1.54266238e+00  2.76000000e-01  3.77660289e-03 
 2.78000000e-01  2.78000000e-01  2.78000000e-01  1.54263965e+00  2.78000000e-01  3.77668545e-03 
 2.80000000e-01  2.80000000e-01  2.80000000e-01  1.54261679e+00  2.80000000e-01  3.77676848e-03 
 2.82000000e-01  2.82000000e-01  2.82000000e-01  1.54259381e+00  2.82000000e-01  3.77685198e-03 
 2.84000000e-01  2.84000000e-01  2.84000000e-01  1.54257069e+00  2.84000000e-01  3.77693597e-03 
 2.86000000e-01  2.86000000e-01  2.86000000e-01  1.54254745e+00  2.86000000e-01  3.77702043e-03 
 2.88000000e-01  2.88000000e-01  2.88000000e-01  1.54252407e+00  2.88000000e-01  3.77710539e-03 
 2.90000000e-01  2.90000000e-01  2.90000000e-01  1.54250055e+00  2.90000000e-01  3.77719083e-03 
 2.92000000e-01  2.92000000e-01  2.92000000e-01  1.54247690e+00  2.92000000e-01  3.77727677e-03 
 2.94000000e-01  2.94000000e-01  2.94000000e-01  1.54245312e+00  2.94000000e-01  3.77736321e-03 
 2.96000000e-01  2.96000000e-01  2.96000000e-01  1.54242919e+00  2.96000000e-01  3.77745015e-03 
 2.98000000e-01  2.98000000e-01  2.98000000e-01  1.54240513e+00  2.98000000e-01  3.77753761e-03 
 3.00000000e-01  3.00000000e-01  3.00000000e-01  1.54238093e+00  3.00000000e-01  3.77762557e-03 
 3.02000000e-01  3.02000000e-01  3.02000000e-01  1.54235659e+00  3.02000000e-01  3.77771406e-03 
 3.04000000e-01  3.04000000e-01  3.04000000e-01  1.54233210e+00  3.04000000e-01  3.77780306e-03 
 3.06000000e-01  3.06000000e-01  3.06000000e-01  1.54230747e+00  3.06000000e-01  3.77789259e-03 
 3.08000000e-01  3.08000000e-01  3.08000000e-01  1.54228269e+00  3.08000000e-01  3.77798266e-03 
 3.10000000e-01  3.10000000e-01  3.10000000e-01  1.54225777e+00  3.10000000e-01  3.77807326e-03 
 3.12000000e-01  3.12000000e-01  3.12000000e-01  1.54223270e+00  3.12000000e-01  3.77816440e-03 
 3.14000000e-01  3.14000000e-01  3.14000000e-01  1.54220749e+00  3.14000000e-01  3.77825609e-03 
 3.16000000e-01  3.16000000e-01  3.16000000e-01  1.54218212e+00  3.16000000e-01  3.77834833e-03 
 3.18000000e-01  3.18000000e-01  3.18000000e-01  1.54215660e+00  3.18000000e-01  3.77844113e-03 
 3.20000000e-01  3.20000000e-01  3.20000000e-01  1.54213092e+00  3.20000000e-01  3.77853448e-03 
 3.22000000e-01  3.22000000e-01  3.22000000e-01  1.54210510e+00  3.22000000e-01  3.77862841e-03 
 3.24000000e-01  3.24000000e-01  3.24000000e-01  1.54207911e+00  3.24000000e-01  3.77872290e-03 
 3.26000000e-01  3.26000000e-01  3.26000000e-01  1.54205297e+00  3.26000000e-01  3.77881798e-03 
 3.28000000e-01  3.28000000e-01  3.28000000e-01  1.54202667e+00  3.28000000e-01  3.77891363e-03 
 3.30000000e-01  3.30000000e-01  3.30000000e-01  1.54200021e+00  3.30000000e-01  3.77900987e-03 
 3.32000000e-01  3.32000000e-01  3.32000000e-01  1.54197359e+00  3.32000000e-01  3.77910671e-03 
 3.34000000e-01  3.34000000e-01  3.34000000e-01  1.54194680e+00  3.34000000e-01  3.77920414e-03 
 3.36000000e-01  3.36000000e-01  3.36000000e-01  1.54191985e+00  3.36000000e-01  3.77930218e-03 
 3.38000000e-01  3.38000000e-01  3.38000000e-01  1.54189274e+00  3.38000000e-01  3.77940083e-03 
 3.40000000e-01  3.40000000e-01  3.40000000e-01  1.54186545e+00  3.40000000e-01  3.77950009e-03 
 3.42000000e-01  3.42000000e-01  3.42000000e-01  1.54183800e+00  3.42000000e-01  3.77959998e-03 
 3.44000000e-01  3.44000000e-01  3.44000000e-01  1.54181038e+00  3.44000000e-01  3.77970049e-03 
 3.46000000e-01  3.46000000e-01  3.46000000e-01  1.54178258e+00  3.46000000e-01  3.77980163e-03 
 3.48000000e-01  3.48000000e-01  3.48000000e-01  1.54175461e+00  3.48000000e-01  3.77990342e-03 
 3.50000000e-01  3.50000000e-01  3.50000000e-01  1.54172646e+00  3.50000000e-01  3.78000585e-03 
 3.52000000e-01  3.52000000e-01  3.52000000e-01  1.54169814e+00  3.52000000e-01  3.78010893e-03 
 3.54000000e-01  3.54000000e-01  3.54000000e-01  1.54166963e+00  3.54000000e-01  3.78021267e-03 
